"Index","X","Y","ExpectedX","ExpectedY","Dx","Dy","Error"
"1","-1.666","223.061","-1.6659728683953","223.061015322111","-2.7131604696029E-05","-1.53221110110735E-05","3.1159124814687E-05"
"2","-27.941","259.251","-27.9407757841155","259.251204073766","-0.000224215884472301","-0.000204073765701196","0.000303181240674885"
"3","-55.932","284.615","-55.9320806651086","284.614892047711","8.06651086406873E-05","0.000107952289397417","0.00013476110914562"
"4","-85.143","302.749","-85.1428309658287","302.749334221195","-0.000169034171292992","-0.000334221194975726","0.000374534855835489"
"5","-103.445","310.909","-103.444921406271","310.909203029195","-7.85937292846484E-05","-0.000203029194665305","0.000217710422739268"
"6","-101.289","310.06","-101.28886000139","310.060349753936","-0.000139998609881786","-0.000349753936177422","0.000376732566471804"
"7","-75.801","297.693","-75.8007943205824","297.693356402208","-0.000205679417589977","-0.000356402207955853","0.000411493082148362"
"8","-29.155","260.569","-29.1549753601668","260.569022782234","-2.46398332492959E-05","-2.27822336569261E-05","3.35581816097339E-05"
"9","8.144","203.297","8.14438083713932","203.297164594368","-0.000380837139315915","-0.000164594367589643","0.000414883396298965"
"10","22.174","153.927","22.1748202078984","153.927121078216","-0.000820207898396319","-0.000121078215613579","0.000829096454514114"
"11","24.278","118.417","24.2785323403251","118.416983471911","-0.000532340325069214","1.65280893611452E-05","0.000532596845120891"
"12","21.972","93.53","21.9723988300908","93.5299373526631","-0.000398830090770019","6.26473369038649E-05","0.000403720361295747"
"13","17.864","73.804","17.8643711002235","73.8039026907549","-0.00037110022354625","9.73092450777813E-05","0.000383646276006538"
"14","12.538","72.023","12.5380590967183","72.0233038407183","-5.90967182656499E-05","-0.000303840718288484","0.000309534495977155"
"15","3.04","73.972","3.04065316885498","73.9723629823274","-0.000653168854979569","-0.000362982327359873","0.000747252114811936"
"16","-5.666","75.777","-5.66600619559208","75.7769433917693","6.19559207848397E-06","5.66082307074112E-05","5.69462654177292E-05"
"17","-19.46","78.655","-19.4599871905785","78.6552489901674","-1.28094215376962E-05","-0.000248990167392549","0.000249319443161378"
"18","-30.38","81.445","-30.3799953216159","81.4454201619083","-4.67838413342747E-06","-0.00042016190832328","0.000420187953758744"
"19","-45.08","85.572","-45.0800344397337","85.5728675364919","3.44397337457281E-05","-0.000867536491867327","0.00086821982238483"
"20","-57.542","89.66","-57.5420193747247","89.6602427934207","1.93747246939324E-05","-0.000242793420667908","0.000243565237824673"
"21","-71.79","93.756","-71.6721919639576","93.9384057760898","-0.117808036042391","-0.182405776089794","0.217141890263223"
"22","-90.636","98.393","-90.4465498014732","98.8045871478168","-0.189450198526799","-0.411587147816803","0.45309530782145"
"23","-116.542","101.981","-116.440368161998","102.393169313132","-0.10163183800212","-0.412169313131685","0.424514514690763"
"24","-145.33","103.078","-145.069961095148","102.497363848032","-0.260038904851541","0.58063615196815","0.636206391832689"
"25","-185.166","95.694","-184.856320268536","94.3217929943359","-0.309679731464229","1.37220700566409","1.40671731434335"
"26","-222.893","78.118","-222.209683110365","76.8640883614958","-0.683316889634597","1.25391163850422","1.42801133358116"
"27","-254.106","50.958","-253.543448837865","50.4010537793117","-0.562551162135236","0.556946220688317","0.791614112278643"
"28","-277.255","11.135","-277.934793935815","11.4248518310358","0.679793935815042","-0.289851831035847","0.739008713836135"
"29","-284.176","-22.267","-284.277232831314","-22.2695345182142","0.10123283131378","0.00253451821420114","0.101264554106471"
