"Index","X","Y","Error"
"1","75.053","219.966","0.0512519133368524"
"2","76.669","220.62","0.044195490486133"
"3","78.84","221.912","0.349107235772867"
"4","80.656","222.54","0.257745129389733"
"5","82.48","223.157","0.153198653996071"
"6","84.216","223.604","0.0765064793289148"
"7","86.441","224.828","0.233604735426738"
"8","87.815","224.946","0.167125804359327"
"9","90.797","226.107","0.196651363129513"
"10","91.829","226.537","0.180681564046274"
"11","94.107","227.687","0.041038669737145"
"12","95.251","228.253","0.141685543029081"
"13","97.553","229.364","0.318281809635477"
"14","98.71","229.91","0.395531070317114"
"15","101.25","230.203","0.275757577192919"
"16","102.337","230.89","0.041595755751663"
"17","104.681","231.925","0.0488378739405656"
"18","105.858","232.433","0.0833772068414827"
"19","108.865","233.219","0.303611877919494"
"20","110.053","233.704","0.294512806348822"
"21","112.439","234.653","0.299526580479606"
"22","113.637","235.117","0.313639426181066"
"23","116.38","236.421","0.121630446505969"
"24","117.588","236.86","0.162669116243077"
"25","119.937","237.87","0.0973043572047595"
"26","121.154","238.287","0.162112030228564"
"27","123.176","239.581","0.28838486018895"
"28","124.401","239.976","0.200179574554862"
"29","127.625","240.626","0.393674116935356"
"30","128.857","240.995","0.50861953126693"
"31","131.38","242.667","0.106774819451803"
"32","132.62","243.008","0.0371390676353924"
"33","135.106","243.669","0.346693196376533"
"34","136.052","244.583","0.150598919261575"
"35","138.83","245.677","0.134629120178356"
"36","140.082","245.968","0.0601652895693724"
"37","142.289","247.116","0.186066728853408"
"38","143.545","247.383","0.0324966841809651"
"39","146.237","248.894","0.370647895001392"
"40","147.678","248.447","0.579555150450554"
"41","149.597","250.067","0.211878380860046"
"42","150.077","250.466","0.472318748304582"
