"Index","X","Y","ExpectedX","ExpectedY","Dx","Dy","Error"
"1","-2.032","223.704","0.0530866430100282","219.966622935512","-2.08508664301003","3.7373770644879","4.27966980397075"
"2","-19.158","248.953","0.0530866430100282","219.966622935512","-19.21108664301","28.9863770644879","34.7746445751773"
"3","-31.005","262.532","0.0530866430100282","219.966622935512","-31.05808664301","42.5653770644879","52.691707797022"
"4","-44.905","275.753","0.0530866430100282","219.966622935512","-44.95808664301","55.7863770644879","71.6473964675732"
"5","-57.145","285.514","0.0530866430100282","219.966622935512","-57.19808664301","65.5473770644879","86.9947110786365"
"6","-68.584","293.331","0.0530866430100282","219.966622935512","-68.63708664301","73.3643770644879","100.465822471627"
"7","-80.062","300.079","0.0530866430100282","219.966622935512","-80.11508664301","80.1123770644879","113.297926136093"
"8","-89.51","304.898","0.0530866430100282","219.966622935512","-89.56308664301","84.9313770644879","123.429677545935"
"9","-97.514","308.504","0.0530866430100282","219.966622935512","-97.56708664301","88.5373770644879","131.750535230275"
"10","-102.878","310.689","0.0530866430100282","219.966622935512","-102.93108664301","90.7223770644879","137.205533043467"
"11","-105.275","311.607","0.0530866430100282","219.966622935512","-105.32808664301","91.6403770644879","139.613625926694"
"12","-102.858","310.681","0.0530866430100282","219.966622935512","-102.91108664301","90.7143770644879","137.185239585909"
"13","-94.596","307.238","0.0530866430100282","219.966622935512","-94.64908664301","87.2713770644879","128.742933231646"
"14","-79.986","300.038","0.0530866430100282","219.966622935512","-80.03908664301","80.0713770644879","113.215196928905"
"15","-60.816","288.15","0.0530866430100282","219.966622935512","-60.86908664301","68.1833770644879","91.400320659571"
"16","-41.774","272.991","0.0530866430100282","219.966622935512","-41.82708664301","53.0243770644879","67.5358404117314"
"17","-21.196","251.472","0.0530866430100282","219.966622935512","-21.24908664301","31.5053770644879","38.001479801946"
"18","-4.139","227.3","0.0530866430100282","219.966622935512","-4.19208664301003","7.33337706448791","8.44701187358348"
"19","9.865","199.161","2.53356764133139","198.320859671638","7.33143235866861","0.84014032836194","7.37941299840802"
