"Index","X","Y","Error"
"1","132.822","200.331","0.330999999999989"
"2","132.333","199.705","0.294999999999987"
"3","131.654","199.787","0.212999999999994"
"4","131.46","200.499","0.498999999999995"
"5","130.78","200.581","0.580999999999989"
"6","130.295","199.949","0.0509999999999877"
"7","127.749","200.238","0.238"
"8","127.07","200.312","0.312000000000012"
"9","124.564","199.878","0.122000000000014"
"10","123.21","200.013","0.0130000000000052"
"11","122.572","202.172","0.224732769082107"
"12","122.409","202.709","0.273692714643608"
"13","121.519","205.555","0.103250282402951"
"14","121.06","206.966","0.237108350612118"
"15","119.202","208.51","0.179644635772345"
"16","118.962","209.209","0.174975200338233"
"17","117.138","210.566","0.219876269120678"
"18","115.851","210.857","0.107293024161563"
"19","115.152","210.922","0.314160917408282"
"20","114.898","211.616","0.253146078757686"
"21","112.795","211.805","0.0585352745934776"
"22","111.393","211.925","0.0679383215270625"
"23","109.29","212.095","0.215994603887238"
"24","108.656","211.976","0.204395045144856"
"25","107.527","211.385","0.0963120571783998"
"26","106.508","210.949","0.164159803475206"
"27","104.27","209.732","0.166819387283201"
"28","103.576","209.775","0.275742967182271"
"29","102.326","207.774","0.351548889630113"
"30","101.637","207.813","0.195037667927484"
"31","100.403","205.774","0.0685994957243653"
"32","99.69","204.568","0.198444648621105"
"33","99.151","202.441","0.0978898473718881"
"34","99.421","201.704","0.296145979152145"
"35","99.284","200.253","0.280290355761436"
"36","98.881","199.536","0.463999999999999"
"37","98.213","199.564","0.436000000000007"
"38","97.945","200.31","0.310000000000002"
"39","96.878","199.618","0.382000000000005"
"40","96.606","200.364","0.364000000000004"
"41","95.937","200.39","0.389999999999986"
"42","95.543","199.668","0.331999999999994"
"43","94.876","199.692","0.307999999999993"
"44","94.599","200.439","0.438999999999993"
"45","93.542","199.737","0.263000000000005"
"46","92.374","199.774","0.225999999999999"
"47","91.707","199.794","0.205999999999989"
"48","91.421","200.541","0.540999999999997"
"49","90.374","199.832","0.168000000000006"
"50","89.04","199.866","0.133999999999986"
"51","86.374","199.925","0.0749999999999886"
"52","85.041","199.95","0.0500000000000114"
"53","82.631","200.173","0.173000000000002"
"54","81.965","200.181","0.181000000000012"
"55","79.298","200.207","0.206999999999994"
"56","78.632","200.212","0.211999999999989"
"57","75.965","200.223","0.223000000000013"
"58","75.382","200.409","0.382000000000005"
"59","75.049","199.664","0.336000000000013"
"60","75.049","199.664","0.336000000000013"
