"Index","X","Y","ExpectedX","ExpectedY","Dx","Dy","Error"
"1","-4.924","228.596","-4.92389204532663","228.596065696694","-0.000107954673365995","-6.56966935537184E-05","0.000126373521931811"
"2","-35.756","267.341","-35.756034126533","267.340965231761","3.41265330376928E-05","3.47682394590265E-05","4.87180739793041E-05"
"3","-63.147","289.761","-63.1471625349527","289.760761718978","0.000162534952742988","0.000238281021552211","0.000288436225351689"
"4","-91.745","305.948","-91.7449884088534","305.948025030774","-1.15911465741192E-05","-2.50307737132971E-05","2.75843127807999E-05"
"5","-104.96","311.488","-104.959821419893","311.488472930892","-0.000178580106947379","-0.000472930891930901","0.000505523968907405"
"6","-96.441","308.045","-96.4410093204093","308.044978391196","9.32040934742417E-06","2.16088043316631E-05","2.35331777507343E-05"
"7","-60.07","287.625","-60.0699758848555","287.62503403108","-2.41151444555499E-05","-3.40310798492283E-05","4.1709166712086E-05"
"8","-13.319","241.243","-13.3191061290636","241.242923663229","0.000106129063574656","7.6336771115848E-05","0.000130731330443879"
"9","14.934","185.089","14.9346786904187","185.089214584379","-0.000678690418688177","-0.000214584378539939","0.000711805549242562"
"10","23.666","141.126","23.6664073096739","141.126033596692","-0.000407309673860823","-3.35966916225061E-05","0.000408692926423479"
"11","23.8","109.335","23.800253489655","109.334980594791","-0.00025348965499461","1.94052093576147E-05","0.000254231326432246"
"12","20.441","84.956","20.4413955265558","84.9559202019554","-0.000395526555802661","7.97980446094471E-05","0.000403495953224573"
"13","14.685","71.591","14.6851965381558","71.5919557227759","-0.000196538155798009","-0.000955722775884738","0.000975721923003327"
"14","0.096","74.386","0.0544385443966728","74.6955132252676","0.0415614556033272","-0.309513225267608","0.312291196173418"
"15","-10.31","76.226","-10.2777518739372","76.5914334110087","-0.0322481260627843","-0.365433411008723","0.366853539598614"
"16","-23.075","79.612","-23.0749826762249","79.6124541329094","-1.73237751006639E-05","-0.000454132909425198","0.000454463213700222"
"17","-42.78","84.731","-42.7800213859415","84.7316524646363","2.13859414799344E-05","-0.000652464636260675","0.000652815027449397"
"18","-63.173","91.056","-63.1731049812475","91.0570496098525","0.000104981247460501","-0.0010496098524726","0.00105484686316352"
"19","-90.384","99.027","-90.4794122891428","98.8197134821693","0.0954122891427716","0.207286517830653","0.228191159762646"
"20","-136.313","102.933","-136.312973365768","102.933246035968","-2.66342316592727E-05","-0.000246035968075375","0.000247473392272517"
"21","-194.507","90.874","-194.424550446687","90.6012920269597","-0.0824495533134382","0.27270797304034","0.284899223237545"
"22","-255.225","47.924","-255.413028842019","48.1033973330761","0.188028842018525","-0.179397333076075","0.259881220071085"
"23","-284.312","-16.17","-284.202202226967","-16.1763431216703","-0.109797773033506","0.00634312167028384","0.109980844494127"
"24","-270.224","-54.315","-270.027076921278","-53.9913002590674","-0.196923078721682","-0.323699740932554","0.378893416692647"
"25","96.845","-46.631","96.8455441300726","-46.6312066951855","-0.000544130072555049","0.000206695185511307","0.000582065662595138"
"26","105.297","-26.896","105.278473189289","-26.8847479926847","0.0185268107112648","-0.0112520073152567","0.0216760324726096"
